id,name,mw_exact,sf,+H,+Na,+K
SLM:000001105,FA(18:4),275.406300,C18H27O2,276.20838156,298.1903258,314.16426301
SLM:000001251,FA(3:0),73.071100,C3H5O2,74.0362308501,96.0181751001,111.99211231
SLM:000001252,FA(4:0),87.097700,C4H7O2,88.0518809201,110.03382516,126.00776237
SLM:000001253,FA(6:0),115.150900,C6H11O2,116.08318104,138.06512529,154.0390625
SLM:000001254,FA(8:0),143.204000,C8H15O2,144.11448117,166.09642542,182.07036263
SLM:000001255,FA(10:0),171.257200,C10H19O2,172.1457813,194.12772555,210.10166276
SLM:000001256,FA(12:0),199.310400,C12H23O2,200.17708143,222.15902568,238.13296289
SLM:000001257,FA(13:0),213.336900,C13H25O2,214.19273149,236.17467574,252.14861295
SLM:000001258,FA(14:0),227.363500,C14H27O2,228.20838156,250.1903258,266.16426301
SLM:000001259,FA(14:1),225.347600,C14H25O2,226.19273149,248.17467574,264.14861295
SLM:000001260,FA(15:0),241.390100,C15H29O2,242.22403162,264.20597587,280.17991308
SLM:000001261,FA(16:0),255.416700,C16H31O2,256.23968168,278.22162593,294.19556314
SLM:000001262,FA(16:1),253.400800,C16H29O2,254.22403162,276.20597587,292.17991308
SLM:000001263,FA(16:2),251.384900,C16H27O2,252.20838156,274.1903258,290.16426301
SLM:000001264,FA(17:0),269.443300,C17H33O2,270.25533175,292.237276,308.21121321
SLM:000001265,FA(18:0),283.469800,C18H35O2,284.27098181,306.25292606,322.22686327
SLM:000001266,FA(18:1),281.454000,C18H33O2,282.25533175,304.237276,320.21121321
SLM:000001267,FA(18:2),279.438100,C18H31O2,280.23968168,302.22162593,318.19556314
SLM:000001268,FA(18:3),277.422200,C18H29O2,278.22403162,300.20597587,316.17991308
SLM:000001269,FA(19:0),297.496400,C19H37O2,298.28663188,320.26857612,336.24251333
SLM:000001270,FA(20:0),311.523000,C20H39O2,312.30228194,334.28422619,350.2581634
SLM:000001271,FA(20:1),309.507100,C20H37O2,310.28663188,332.26857612,348.24251333
SLM:000001272,FA(20:2),307.491200,C20H35O2,308.27098181,330.25292606,346.22686327
SLM:000001273,FA(20:3),305.475400,C20H33O2,306.25533175,328.237276,344.21121321
SLM:000001274,FA(20:4),303.459500,C20H31O2,304.23968168,326.22162593,342.19556314
SLM:000001275,FA(20:5),301.443600,C20H29O2,302.22403162,324.20597587,340.17991308
SLM:000001276,FA(21:0),325.549600,C21H41O2,326.317932,348.29987625,364.27381346
SLM:000001277,FA(22:0),339.576200,C22H43O2,340.33358207,362.31552632,378.28946353
SLM:000001278,FA(22:1),337.560300,C22H41O2,338.317932,360.29987625,376.27381346
SLM:000001279,FA(22:2),335.544400,C22H39O2,336.30228194,358.28422619,374.2581634
SLM:000001280,FA(22:3),333.528500,C22H37O2,334.28663188,356.26857612,372.24251333
SLM:000001281,FA(22:4),331.512600,C22H35O2,332.27098181,354.25292606,370.22686327
SLM:000001282,FA(22:5),329.496800,C22H33O2,330.25533175,352.237276,368.21121321
SLM:000001283,FA(22:6),327.480900,C22H31O2,328.23968168,350.22162593,366.19556314
SLM:000001284,FA(24:0),367.629300,C24H47O2,368.3648822,390.34682644,406.32076365
SLM:000001285,FA(24:1),365.613400,C24H45O2,366.34923213,388.33117638,404.30511359
SLM:000001286,FA(24:4),359.565800,C24H39O2,360.30228194,382.28422619,398.2581634
SLM:000001287,FA(24:5),357.549900,C24H37O2,358.28663188,380.26857612,396.24251333
SLM:000001288,FA(24:6),355.534000,C24H35O2,356.27098181,378.25292606,394.22686327
SLM:000001289,FA(26:0),395.682500,C26H51O2,396.39618232,418.37812657,434.35206378
SLM:000001290,FA(26:1),393.666600,C26H49O2,394.38053226,416.36247651,432.33641372
SLM:000001291,FA(26:4),387.619000,C26H43O2,388.33358207,410.31552632,426.28946353
SLM:000001292,FA(26:5),385.603100,C26H41O2,386.317932,408.29987625,424.27381346
SLM:000001293,FA(26:6),383.587200,C26H39O2,384.30228194,406.28422619,422.2581634
SLM:000001294,FA(28:0),423.735600,C28H55O2,424.42748245,446.4094267,462.38336391
SLM:000001295,FA(28:4),415.672100,C28H47O2,416.3648822,438.34682644,454.32076365
SLM:000001296,FA(28:5),413.656200,C28H45O2,414.34923213,436.33117638,452.30511359
SLM:000001297,FA(28:6),411.640400,C28H43O2,412.33358207,434.31552632,450.28946353
SLM:000001298,FA(30:0),451.788800,C30H59O2,452.45878258,474.44072683,490.41466404
